id;name;description;logo_url;is_active
1;terraform thorn;../fake-data/blob/hipster.txt;arraign;true
2;brr kissingly;../fake-data/blob/hipster.txt;and alert questionable;true
3;exempt;../fake-data/blob/hipster.txt;friendly eek;true
4;premium portray;../fake-data/blob/hipster.txt;onto;false
5;gah rotating;../fake-data/blob/hipster.txt;ill-fated;true
6;monocle stable valentine;../fake-data/blob/hipster.txt;smoothly gosh;false
7;clinking;../fake-data/blob/hipster.txt;behest;false
8;athwart since huzzah;../fake-data/blob/hipster.txt;gee ick;true
9;intellect;../fake-data/blob/hipster.txt;pillbox not against;false
10;aha;../fake-data/blob/hipster.txt;phooey cleaner;false
