id;name;description;image_url;href;is_featured;display_order
1;outfit consequently;../fake-data/blob/hipster.txt;book;"/eywt";true;3009
2;ski roughly;../fake-data/blob/hipster.txt;swelter;"/ewo";false;19206
3;truthfully if;../fake-data/blob/hipster.txt;capsize blah sting;"/zjrsr";false;455
4;clone ah;../fake-data/blob/hipster.txt;finally provided declaration;"/rfv";true;21069
5;microblog circa;../fake-data/blob/hipster.txt;appropriate celebrated despite;"/fj";true;3953
6;yuck drat surprise;../fake-data/blob/hipster.txt;up;"/gelqhh";true;9375
7;whoa loftily;../fake-data/blob/hipster.txt;cautiously;"/ekqugw";false;22180
8;submitter unwieldy er;../fake-data/blob/hipster.txt;beside;"/-vssk";false;15494
9;birdbath instead fatally;../fake-data/blob/hipster.txt;detain amid;"/bmwpd";false;31245
10;yogurt unlucky;../fake-data/blob/hipster.txt;charter next while;"/qvs";true;28235
