id;quantity;reserved_quantity;warehouse;last_restocked;reorder_level;reorder_quantity;product_id
1;6345;10849;during pish;2025-09-17T19:09:09;28526;31725;1
2;17541;31829;volleyball;2025-09-17T19:48:53;2337;1429;2
3;10584;16723;beneath;2025-09-17T02:54:55;3277;21805;3
4;30824;19516;since around;2025-09-17T09:59:38;1350;21928;4
5;8533;16679;afore roughly;2025-09-17T17:06:04;10243;28741;5
6;27968;3021;justly violently;2025-09-17T05:17:32;24048;11516;6
7;29558;8780;oof;2025-09-16T23:20:08;3976;1586;7
8;21372;19864;seldom whose;2025-09-17T18:55:50;29712;9794;8
9;12949;23562;illustrious wonderfully;2025-09-17T20:25:07;6262;14156;9
10;7758;24163;bloom however;2025-09-17T05:15:13;18063;18437;10
