id;order_number;status;total_amount;subtotal_amount;tax_amount;shipping_amount;discount_amount;payment_method;payment_status;shipping_method;tracking_number;notes;cancel_reason;return_reason;refund_amount;estimated_delivery_date;delivered_date;shipped_date;shipping_address_id;billing_address_id;user_id
1;restfully incidentally;SHIPPED;2150;23761.38;18176.85;10626.33;20314.08;EMI;PARTIAL_REFUND;observe;than;../fake-data/blob/hipster.txt;while;if what chubby;3261.42;2025-09-17;2025-09-17T05:16:57;2025-09-17T17:26:37;1;1;1
2;nocturnal;CONFIRMED;26716.77;10709.53;15617.21;9888.5;7748.1;WALLET;SUCCESS;bah;meh;../fake-data/blob/hipster.txt;until astride;brr;3884.28;2025-09-17;2025-09-17T06:59:07;2025-09-17T01:18:26;2;2;2
3;rosemary accelerator boss;FAILED;5841.12;24272.93;8937.1;314.5;27930.34;EMI;CANCELLED;collaborate while;behest taxicab;../fake-data/blob/hipster.txt;incomparable cleverly;meanwhile;21673.76;2025-09-16;2025-09-17T17:02:45;2025-09-17T19:27:47;3;3;3
4;gadzooks;RETURNED;27827.9;30862.64;16164.43;28174.28;17615.3;UPI;CANCELLED;oof hmph;against huzzah;../fake-data/blob/hipster.txt;nor;after delight;16702.32;2025-09-17;2025-09-17T15:25:09;2025-09-17T10:02:38;4;4;4
5;ah recklessly;OUT_FOR_DELIVERY;25845.86;10642.71;6249.69;25618.87;11066.55;COD;REFUNDED;last a;boohoo;../fake-data/blob/hipster.txt;mockingly;than;13736.81;2025-09-17;2025-09-17T13:17:20;2025-09-17T04:47:49;5;5;5
6;plus pfft mysterious;FAILED;28262.3;10104.6;17934.33;477.83;11009.31;UPI;PROCESSING;via darn hmph;hence incidentally;../fake-data/blob/hipster.txt;likely validity someplace;kindly aha;6568.37;2025-09-17;2025-09-17T04:56:23;2025-09-17T02:02:46;6;6;6
7;into now hovercraft;PACKED;1687.31;4670;10472.19;15841.04;7344.93;WALLET;REFUNDED;wilderness;sonnet plait;../fake-data/blob/hipster.txt;instructor where highly;down;14049.92;2025-09-17;2025-09-17T00:00:00;2025-09-17T08:28:55;7;7;7
8;overconfidently;SHIPPED;7075.28;4352.68;22657.22;3499.71;8977.1;DEBIT_CARD;PENDING;kookily analogy;aboard;../fake-data/blob/hipster.txt;bitterly once vaguely;after pinstripe;31076.35;2025-09-17;2025-09-17T06:57:24;2025-09-17T01:49:09;8;8;8
9;mundane;FAILED;29355.17;12933.53;18824.56;25849.3;11071.03;DEBIT_CARD;CANCELLED;ick off;unto account penalise;../fake-data/blob/hipster.txt;emulsify barring;more uncork quickly;14031.27;2025-09-16;2025-09-16T22:47:21;2025-09-17T09:26:21;9;9;9
10;including heartbeat while;OUT_FOR_DELIVERY;12177.43;24292.07;19725.4;19260.15;7273.31;COD;FAILED;wisely;belabor fluctuate so;../fake-data/blob/hipster.txt;affect rationale amid;colorize majority croon;25169.7;2025-09-17;2025-09-17T06:23:25;2025-09-17T16:00:27;10;10;10
