id;name;description;price;original_price;sku;is_new;is_on_sale;rating;reviews_count;stock_count;in_stock;features;meta_title;meta_description;meta_keywords;status;weight;dimensions;category_id
1;section;../fake-data/blob/hipster.txt;29289.36;5070.91;dimly observe;true;false;3.75;8062;449;true;../fake-data/blob/hipster.txt;noteworthy equal needy;loudly after mmm;unless gladly;ACTIVE;17532.23;bell;1
2;yet;../fake-data/blob/hipster.txt;6638.52;5686.75;below rigid nucleotidase;false;false;2.83;24095;13361;true;../fake-data/blob/hipster.txt;republican;truthfully;intently;COMING_SOON;737.44;excepting;2
3;knottily;../fake-data/blob/hipster.txt;24994.16;2857.56;mysterious concrete unaware;true;false;2.29;8030;14401;true;../fake-data/blob/hipster.txt;grass boastfully upset;jaunty pecan;nifty;ACTIVE;10173.56;which beside;3
4;pro wherever so;../fake-data/blob/hipster.txt;21432.25;19906.07;tribe without meager;false;true;3.75;22988;740;false;../fake-data/blob/hipster.txt;deficient murky lest;oh flawless every;promptly lazily;COMING_SOON;31635.82;energetically;4
5;mortise boo gosh;../fake-data/blob/hipster.txt;27916.91;3895.3;yum so;true;true;0.85;28952;30482;true;../fake-data/blob/hipster.txt;after;quick amongst humble;hmph whoa phew;DISCONTINUED;19401.38;throughout not apricot;5
6;on;../fake-data/blob/hipster.txt;23615.76;19588.29;sailor oof monumental;true;false;0.31;30534;22901;false;../fake-data/blob/hipster.txt;provided;amidst guide;black-and-white;INACTIVE;12865;ride ouch;6
7;popularity needily duh;../fake-data/blob/hipster.txt;21282.42;27422.94;but;true;true;1.47;32261;18451;false;../fake-data/blob/hipster.txt;mushy hearten serpentine;lively;concerning weakly;ACTIVE;5579.92;retrospectivity gosh;7
8;fooey declaration yum;../fake-data/blob/hipster.txt;4784.5;24669.53;until;true;true;4.62;19193;32137;true;../fake-data/blob/hipster.txt;meh antelope;given;whoever;COMING_SOON;17731.88;incidentally;8
9;mindless stealthily if;../fake-data/blob/hipster.txt;13426.82;29463.91;flowery brr furthermore;false;true;2.54;10818;17462;true;../fake-data/blob/hipster.txt;as buck guidance;off fencing;hover a;ACTIVE;19263.56;masterpiece;9
10;diligent hence;../fake-data/blob/hipster.txt;26841.37;1303.3;during defiantly;true;false;3.49;25978;20706;false;../fake-data/blob/hipster.txt;scamper;cardboard tremendously amidst;gosh culminate since;OUT_OF_STOCK;9472.73;impanel courageously;10
