id;image_url;alt_text;is_primary;display_order;product_id
1;clamor whoa gosh;profane kissingly if;false;19199;1
2;too;woot urgently;true;7375;2
3;shrill;why before;true;30222;3
4;enroll homeschool carelessly;puppet for;false;17289;4
5;team norm;about;false;19954;5
6;calculating yet notwithstanding;following;false;17389;6
7;eyebrow sauerkraut;blah sleet;true;505;7
8;vast until;first;false;1749;8
9;of solace silently;as bracelet intrigue;false;9427;9
10;eek pretty;helplessly whenever finally;true;26596;10
