id;variant_size;color;sku;stock_count;price_adjustment;barcode;weight;product_id
1;XS;tan;uneven;25781;15454.84;wetly although helplessly;11937.56;1
2;S;indigo;geez instruction;3178;10089.26;incidentally;24513.77;2
3;FREE_SIZE;indigo;lighthearted scale fraternise;23914;28475.3;victoriously squirm off;15686.5;3
4;XS;azure;that hm;15541;519.98;clearly than pro;30995.3;4
5;XL;fuchsia;colorless culture;1595;24337.85;proofread;15319.33;5
6;L;olive;petal bah vibraphone;1353;29838.87;overproduce until;12648.83;6
7;XXXL;turquoise;micromanage pleased;3225;28200.26;submitter manage;14395.9;7
8;XS;lime;yuck for;22106;12718.61;quintuple;29811.23;8
9;XXXL;yellow;a offset fooey;16258;32073.16;mild strictly;12318.96;9
10;XXXL;grey;marksman;25696;1677.47;obediently;5974.79;10
