id;name;description;promo_code;discount_type;discount_value;min_purchase_amount;max_discount_amount;start_date;end_date;usage_limit;usage_count;is_active;applicable_categories;excluded_products;terms_and_conditions
1;inwardly immediately even;../fake-data/blob/hipster.txt;when fleck;FIXED_AMOUNT;5664.87;8007.9;8465.36;2025-09-17T03:56:17;2025-09-17T00:03:09;31172;1158;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;dock;../fake-data/blob/hipster.txt;wire neglect;FREE_SHIPPING;9966.69;14582.5;14845.49;2025-09-16T23:14:29;2025-09-17T18:26:55;3455;22046;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;mobilise;../fake-data/blob/hipster.txt;thoroughly;BUY_X_GET_Y;19547.34;21223.91;16690.37;2025-09-17T21:38:51;2025-09-17T08:39:43;2762;13818;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;aw;../fake-data/blob/hipster.txt;spook;FIXED_AMOUNT;1888.61;5373.75;16448.72;2025-09-17T07:25:30;2025-09-17T12:13:55;31196;13069;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;polished;../fake-data/blob/hipster.txt;upside-down psst;FIXED_AMOUNT;2928.92;13553.71;31815.52;2025-09-17T19:33:03;2025-09-17T14:25:08;3359;22472;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;slink;../fake-data/blob/hipster.txt;demobilise expatiate poor;FIXED_AMOUNT;10890.44;24222.01;12753.09;2025-09-17T04:58:46;2025-09-17T08:20:56;6949;1830;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;now fledgling whoa;../fake-data/blob/hipster.txt;aha yippee subsidy;FIXED_AMOUNT;10152.81;23546.28;19779.46;2025-09-16T23:33:56;2025-09-17T12:23:58;24766;87;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;jumbo;../fake-data/blob/hipster.txt;gadzooks;FREE_SHIPPING;25150.67;32275.94;28158.89;2025-09-17T15:54:30;2025-09-17T11:41:56;21443;2588;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;tenderly quicker grandiose;../fake-data/blob/hipster.txt;lively aw mooch;PERCENTAGE;22056.97;7876.18;32559.69;2025-09-17T07:45:38;2025-09-17T14:28:32;24100;32566;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;augment abaft kielbasa;../fake-data/blob/hipster.txt;marksman formamide with;FREE_SHIPPING;25647.72;9157.19;24854.26;2025-09-17T14:40:56;2025-09-17T15:58:18;9710;24905;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
