id;rating;title;comment;helpful_count;not_helpful_count;verified_purchase;status;response;response_date;user_id;product_id
1;1;mountain back;../fake-data/blob/hipster.txt;25581;13576;true;PENDING;../fake-data/blob/hipster.txt;2025-09-17T02:49:56;1;1
2;4;bend strong gladly;../fake-data/blob/hipster.txt;19124;24478;true;FLAGGED;../fake-data/blob/hipster.txt;2025-09-17T20:07:49;2;2
3;3;up;../fake-data/blob/hipster.txt;1079;32604;false;FLAGGED;../fake-data/blob/hipster.txt;2025-09-17T15:04:16;1;3
4;1;truthfully quiet;../fake-data/blob/hipster.txt;14809;13694;true;REJECTED;../fake-data/blob/hipster.txt;2025-09-16T23:11:22;1;4
5;4;status;../fake-data/blob/hipster.txt;5635;19705;true;PENDING;../fake-data/blob/hipster.txt;2025-09-17T18:10:57;2;5
6;1;antique pry;../fake-data/blob/hipster.txt;28670;10343;false;FLAGGED;../fake-data/blob/hipster.txt;2025-09-17T07:50:23;2;6
7;3;meanwhile;../fake-data/blob/hipster.txt;31735;31742;true;APPROVED;../fake-data/blob/hipster.txt;2025-09-17T21:02:38;1;7
8;2;round ouch firsthand;../fake-data/blob/hipster.txt;19773;16143;true;PENDING;../fake-data/blob/hipster.txt;2025-09-17T18:21:37;2;8
9;5;why fellow duh;../fake-data/blob/hipster.txt;6802;3360;true;APPROVED;../fake-data/blob/hipster.txt;2025-09-17T12:57:08;1;9
10;2;gadzooks;../fake-data/blob/hipster.txt;3748;5551;true;PENDING;../fake-data/blob/hipster.txt;2025-09-17T10:12:37;1;10
